Date,G_cases,G_deaths,SL_cases,SL_deaths,L_cases,L_deaths
41720,49,29,,,,
41722,86,59,,,,
41723,86,60,,,,
41724,86,62,,,,
41725,103,66,,,,
41726,112,70,,,,
41729,122,80,,,,
41730,127,83,,,,
41733,143,86,,,,
41736,151,95,,,,
41738,158,101,,,,
41740,159,106,,,,
41743,168,108,,,,
41745,197,122,,,,
41746,203,129,,,,
41749,208,136,,,,
41752,218,141,,,,
41760,226,149,,,,
41762,231,155,,,,
41764,235,157,,,,
41766,236,158,,,,
41769,233,157,,,,
41771,248,171,,,,
41777,253,176,,,,
41782,258,174,,,,
41786,281,186,16,5,,
41787,291,193,,,,
41788,50,6,,,,
41791,328,208,79,6,,
41793,344,215,,,,
41795,351,226,81,6,,
41796,89,7,,,,
41805,394,263,95,46,,
41806,398,264,33,24,,
41807,97,49,,,,
41810,390,270,158,34,,
41812,51,34,,,,
41820,413,303,239,99,107,65
41822,412,305,252,101,115,75
41826,408,307,305,127,131,84
41828,409,309,337,142,142,88
41832,406,304,386,194,172,105
41834,411,310,397,197,174,106
41837,410,310,442,206,196,116
41840,415,314,454,219,224,127
41843,427,319,525,224,249,129
41847,460,339,533,233,329,156
41850,472,346,574,252,391,227
41852,485,358,646,273,468,255
41855,495,363,691,286,516,282
41857,495,367,717,298,554,294
41860,506,373,730,315,599,323
41862,510,377,783,334,670,355
41864,519,380,810,348,786,413
41866,834,466,,,,
41867,543,394,848,365,,
41869,579,396,907,374,972,576
41871,607,406,910,392,1082,624
